year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,4,3,0,14075.0,14188,-113.40495672178258,113.40495672178258,0.805719053085489
2025,5,3,0,14075.0,14176,-101.29129931437637,101.29129931437637,0.7196539915763863
2025,6,3,0,14075.0,14309,-233.8933602806719,233.8933602806719,1.6617645490633886
2025,1,3,0,14181.0,16595,-2413.6973920755227,2413.6973920755227,17.02064305814486
2025,2,3,0,21049.0,21942,-893.1377856433537,893.1377856433537,4.2431364228388695
2025,3,3,0,21049.0,21757,-708.3297964315643,708.3297964315643,3.3651470209110377
2025,4,3,0,21049.0,21736,-686.6936224897654,686.6936224897654,3.2623574634888373
2025,5,3,0,21049.0,21742,-692.6158447119888,692.6158447119888,3.290492872402436
2025,6,3,0,21049.0,21783,-734.0840874755522,734.0840874755522,3.487501009433
2025,1,3,0,21582.0,19605,1976.9057665637774,1976.9057665637774,9.159974824222859
2025,2,3,0,21841.0,23735,-1893.79831131424,1893.79831131424,8.67084067265345
2025,3,3,0,22101.0,22897,-796.0157066781576,796.0157066781576,3.6017180520255083
2025,4,3,0,22101.0,23182,-1081.4847420912338,1081.4847420912338,4.893374698390271
2025,5,3,0,22101.0,23195,-1093.815746378914,1093.815746378914,4.949168573272313
2025,6,3,0,24756.0,23890,866.200996975509,866.200996975509,3.498953776763245
2025,1,4,0,4635.0,5026,-391.02814898048655,391.02814898048655,8.436421768726786
2025,2,4,0,5856.0,5618,237.9705569786429,237.9705569786429,4.063704866438574
2025,3,4,0,6064.0,5901,162.5854168657661,162.5854168657661,2.6811579298444275
2025,4,4,0,6064.0,6133,-68.63132219185718,68.63132219185718,1.131783017675745
2025,5,4,0,6064.0,6134,-69.6781099190257,69.6781099190257,1.1490453482688936
2025,6,4,0,6064.0,6154,-90.17435700302667,90.17435700302667,1.4870441458282762
2025,1,4,0,6618.0,6965,-347.1074841112295,347.1074841112295,5.244900031901322
2025,2,4,0,7236.0,7315,-79.13323948330435,79.13323948330435,1.0936047468671137
2025,3,4,0,8707.0,8886,-178.51757325351355,178.51757325351355,2.050276481606909
2025,4,4,0,8707.0,9134,-426.73345124876323,426.73345124876323,4.901038833682821
2025,5,4,0,8707.0,9135,-427.547340137653,427.547340137653,4.910386357386621
2025,6,4,0,9527.0,9473,53.83316493998245,53.83316493998245,0.5650589371258786
2025,1,0,0,7753.0,7395,357.970839974284,357.970839974284,4.6171912804628406
2025,2,0,0,8300.0,8454,-153.82652719375255,153.82652719375255,1.8533316529367776
2025,3,0,0,8300.0,8458,-157.5288892907629,157.5288892907629,1.8979384251899143
2025,4,0,0,8300.0,8441,-140.55568512200625,140.55568512200625,1.6934419894217618
2025,5,0,0,8368.0,8438,-70.18027120017723,70.18027120017723,0.8386743690269747
2025,6,0,0,9188.0,9094,93.86783405506685,93.86783405506685,1.021635111613701
2025,1,0,0,14070.0,15890,-1820.331965689973,1820.331965689973,12.937682769651548
2025,2,0,0,15801.0,16310,-509.1914233634325,509.1914233634325,3.2225265702387977
2025,3,0,0,16299.0,16541,-242.41049780095636,242.41049780095636,1.4872722117980022
2025,4,0,0,16299.0,16736,-437.04821379309215,437.04821379309215,2.681441890871171
2025,5,0,0,16299.0,16709,-410.11410794423136,410.11410794423136,2.5161918396480236
2025,6,0,0,17225.0,17105,119.94032605636676,119.94032605636676,0.6963153907481379
2025,1,1,0,16458.0,16972,-513.8541389405909,513.8541389405909,3.1222149650054134
2025,2,1,0,21274.0,21924,-649.7672462621158,649.7672462621158,3.0542786794308348
2025,3,1,0,21274.0,21906,-632.3570369468034,632.3570369468034,2.9724407114167692
